periodo1,periodo2,periodo3,periodo4,periodo5,periodo6,periodo7,periodo8,periodo9,periodo10,periodo11,periodo12,activo_codigo,activo_subnumero,ejercicio,umb_code
34558.0909,37026.5259,39494.9610,41963.3961,44431.8311,46900.2662,49368.7013,51837.1363,54305.5714,56774.0064,59242.4415,61710.8766,80000274,0,2026,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3459.3562,20000018,0,2024,HNL
6918.7125,10378.0687,13837.4250,17296.7812,20756.1374,24215.4937,27674.8499,31134.2062,34593.5624,38052.9187,41512.2749,44971.6311,20000018,0,2025,HNL
48430.9874,51890.3436,55349.6999,58809.0561,62268.4123,65727.7686,69187.1248,72646.4811,76105.8373,79565.1935,83024.5498,86483.9060,20000018,0,2026,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,264.4271,30000021,0,2024,HNL
528.8542,793.2814,1057.7085,1322.1356,1586.5627,1850.9898,2115.4170,2379.8441,2644.2712,2908.6983,3173.1254,3437.5525,30000021,0,2025,HNL
3701.9797,3966.4068,4230.8339,4495.2610,4759.6881,5024.1153,5288.5424,5552.9695,5817.3966,6081.8237,6346.2509,6610.6780,30000021,0,2026,HNL
0.0000,0.0000,0.0000,30.1125,60.2250,90.3375,120.4500,150.5625,180.6750,210.7875,240.9000,271.0125,PAF_2025_0001,0000,2025,HNL
301.1250,331.2375,361.3500,391.4625,421.5750,451.6875,481.8000,511.9125,542.0250,572.1375,602.2500,632.3625,PAF_2025_0001,0000,2026,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100100671,0,2024,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100100671,0,2025,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100100671,0,2026,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100100672,0,2024,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100100672,0,2025,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100100672,0,2026,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100100673,0,2024,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100100673,0,2025,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100100673,0,2026,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100100674,0,2024,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100100674,0,2025,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100100674,0,2026,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100100675,0,2024,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100100675,0,2025,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100100675,0,2026,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100100676,0,2024,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100100676,0,2025,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100100676,0,2026,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100100677,0,2024,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100100677,0,2025,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100100677,0,2026,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100100678,0,2024,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100100678,0,2025,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100100678,0,2026,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100100679,0,2024,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100100679,0,2025,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100100679,0,2026,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100100680,0,2024,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100100680,0,2025,HNL
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100100680,0,2026,HNL
