createdat,createdby,modifiedat,modifiedby,producto_codigo,centrologistico_codigo,centrobeneficio_codigo,plancuenta_codigo,costo,historico,iscoproducto
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000000,2603,2603,"",5.230,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000000,2604,2604,"",5.230,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000000,2605,2605,"",0.000,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000000,2606,2606,"",0.000,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000000,2607,2607,"",5.230,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000000,2608,2608,"",5.240,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000000,2609,2609,"",5.230,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000000,2610,2610,"",4.580,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000000,2611,2611,"",4.580,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000000,2612,2612,"",4.580,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000000,2613,2613,"",4.580,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000000,2614,2614,"",4.580,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000000,5000,5000,"",4.840,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000000,6010,6010,"",0.000,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000001,1000,1000,"",7.460,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000001,2020,2020,"",0.000,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000001,2120,2120,"",0.000,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000001,2300,2300,"",6.700,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000001,2301,2301,"",6.700,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000001,2302,2302,"",6.700,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000001,2303,2303,"",6.700,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000001,2400,2400,"",4.890,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000001,2401,2401,"",6.700,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000001,2402,2402,"",4.330,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000001,2403,2403,"",4.330,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000001,2404,2404,"",6.700,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000001,2405,2405,"",4.710,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000001,2406,2406,"",4.710,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000001,2600,2600,"",6.710,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000001,2601,2601,"",4.290,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000001,2602,2602,"",4.290,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000001,2603,2603,"",4.290,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000001,2604,2604,"",4.290,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000001,2605,2605,"",0.000,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000001,2606,2606,"",0.000,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000001,2607,2607,"",4.290,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000001,2608,2608,"",4.640,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000001,2609,2609,"",5.230,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000001,2610,2610,"",4.890,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000001,2611,2611,"",4.890,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000001,2612,2612,"",4.890,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000001,2613,2613,"",4.890,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000001,2614,2614,"",4.890,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000001,5000,5000,"",4.540,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000001,6010,6010,"",0.000,t,f
2025-08-27 22:33:12.639,DBULNES,2025-08-27 22:33:12.639,DBULNES,12000002,1000,1000,"",7.530,t,f
