createdat,createdby,modifiedat,modifiedby,agrupador_codigo,centrocosto_codigo
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG24,1111300001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG24,1111400001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG24,1113000002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG24,1113000004
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG24,1131100001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG24,1131600001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG24,1131700002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG24,1131800001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG24,1132000002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG24,1132000003
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG24,1132000099
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG24,1133000001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG24,1140000004
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG25,1111100002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG25,1111100003
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG25,1111100004
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG25,1111200004
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG25,1111200005
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG25,1111200007
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG25,1111300001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG25,1111400001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG25,1113000002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG25,1113000004
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG25,1131100001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG25,1131600001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG25,1131700002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG25,1131800001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG25,1132000002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG25,1132000003
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG25,1132000099
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG25,1133000001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CG25,1140000004
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CS24,1113000001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_CS25,1113000001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_GA24,1123205001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_GA25,1123205001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_GG24,1111100001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_GG25,1111100001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_GNA24,1123103001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_GNA25,1123103001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_GPB24,1123104001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_GPB25,1123104001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_OP24,1111100001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_OP24,1111100002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_OP24,1111100003
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_OP24,1111100005
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_OP24,1111200001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_OP24,1111200002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_OP24,1111200003
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_OP24,1111200007
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_OP24,1111300001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_OP24,1111300002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_OP24,1112100001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_OP24,1112310001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_OP25,1111100001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_OP25,1111100002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_OP25,1111100003
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_OP25,1111100005
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_OP25,1111200001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_OP25,1111200002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_OP25,1111200003
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_OP25,1111200007
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_OP25,1111300001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_OP25,1111300002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_OP25,1112100001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_OP25,1112310001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_SC24,1112350001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_SC25,1112350001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_SK24,1112330002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_SK25,1112330002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_SL24,1112330001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_SL25,1112330001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_SS24,1112340001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_SS25,1112340001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_SV24,1112330003
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,2_EE_SV25,1112330003
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR24,1111100001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR24,1111400001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR24,1113000001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR24,1113000002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR24,1113000004
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR24,1113000005
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR24,1113000007
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR24,1113000008
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR24,1121101001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR24,1121101002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR24,1121101003
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR24,1121101004
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR24,1121201001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR24,1121201002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR24,1121201003
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR24,1121201004
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR24,1121201005
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR24,1121201006
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR24,1121201007
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR24,1121299001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR24,1122101001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR24,1123101001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR24,1123102001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR24,1123103001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR24,1123104001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR24,1123202001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR24,1123205001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR24,1123900001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR24,1123900002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR24,1123900003
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR24,1129900091
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR24,1129900099
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR24,1131100001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR24,1131100002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR24,1131200002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR24,1131300001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR24,1131500001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR24,1131600001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR24,1131700001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR24,1131700002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR24,1131800001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR24,1131900001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR24,1133000001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR24,1140000003
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR24,1140000004
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR24,1140000005
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1111100001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1111100002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1111100003
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1111100004
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1111100005
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1111200001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1111200002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1111200003
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1111200004
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1111200005
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1111200006
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1111300001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1111300002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1111300003
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1111400001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1112100001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1112100002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1112200001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1112200002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1112310001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1112330001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1112330002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1112330003
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1112340001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1112350001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1112400001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1113000001
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1113000002
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1113000003
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1113000004
2025-07-22 16:48:22.917,DBULNES,2025-07-22 16:48:22.917,DBULNES,3_SI_GR25,1113000005
