id,createdat,createdby,modifiedat,modifiedby,material_producto_codigo,material_centrologistico_codigo,ejercicio,stockcompra1,stockcompra2,stockcompra3,stockcompra4,stockcompra5,stockcompra6,stockcompra7,stockcompra8,stockcompra9,stockcompra10,stockcompra11,stockcompra12,historico,bloqueouser,bloqueoadmin,escenario
471e4e03-8a7d-4c04-9b0a-e8108479763b,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,18000370,6010,2025,15.0000,15.0000,15.0000,15.0000,15.0000,15.0000,15.0000,15.0000,15.0000,15.0000,15.0000,15.0000,f,f,f,1
d1e72ae3-b0cf-4a11-b99c-5c424995659e,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,18000280,6010,2025,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,3000.0000,f,f,f,1
20e3dd4b-c440-4e0f-ab3b-1f6c13f18dad,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,24000162,5003,2025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,f,1
30c9c6ac-e1b3-4855-8f58-f99728f069cb,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,18000300,6000,2025,216.0000,216.0000,216.0000,216.0000,216.0000,216.0000,216.0000,216.0000,216.0000,216.0000,216.0000,216.0000,f,f,f,1
20a0ab56-ae6d-4a2d-8192-5ef7f4610633,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,10000074,1000,2025,29413.3300,25141.9100,30787.1100,30982.4100,32796.3300,30649.9600,32522.6800,32203.7000,32651.6200,32898.2100,30467.7100,31188.3500,f,f,f,1
7e4498c8-9b93-4aa6-80cc-2a97d4798ffd,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,18000081,6000,2025,1500.0000,1500.0000,1500.0000,1500.0000,1500.0000,1500.0000,1500.0000,1500.0000,1500.0000,1500.0000,1500.0000,1500.0000,f,f,f,1
d0b6d2a7-d018-48a5-8e1c-022f48a835bd,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,30000000,1000,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,f,1
a580faf0-b86f-40b6-ae47-9680441e9020,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,24000162,5000,2025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,f,1
71b1fed1-4864-41ef-9816-5298e6316921,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,18000341,6010,2025,1500.0000,1500.0000,1500.0000,1500.0000,1500.0000,1500.0000,1500.0000,1500.0000,1500.0000,1500.0000,1500.0000,1500.0000,f,f,f,1
25ddf244-e140-4826-8ae0-65e586b9b945,2025-07-22 17:38:53.573,NMATAMOROS,2025-08-01 21:23:19.077,NMATAMOROS,24000016,5003,2025,96.8000,86.9000,99.0000,91.3000,93.5000,101.2000,105.6000,95.7000,104.5000,101.2000,105.6000,116.6000,f,f,f,1
