createdat,createdby,modifiedat,modifiedby,codigo,subnumero,serieactivo,descripcion,claseactivo_codigo,claseactivosap,centrocosto_codigo,fechainciodepreciacion,fechafindepreciacion,valorcompra,escenario,historico,fechacapitalizacion,moneda_code,bloqueouser,bloqueoadmin
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,130000200,0,"",CONGELADOR HORIZONTAL VIDRIO CURVO 13 PIES VERSION,3920,,1112100002,,,20320.9500,1,t,2022-07-31,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,130000247,0,53103118131000141,CONGELADOR HORIZONTAL 2 PUERTAS 25 PIES / SERIE: 5,3920,,1112100001,,,0.0000,1,t,2024-01-31,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,130000248,0,M88950013839000071,CAMARA CONGELADORA VERTICAL 1 PUERTA DE VIDRIO,3920,,1112100001,,,0.0000,1,t,2024-02-29,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,130000249,0,B53103121122000121,CONGELADORA HORIZONTAL 2 PUERTA - COLOR BLANCO DE,3920,,1112100001,,,0.0000,1,t,2024-02-29,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,130000250,0,B53103121122000069,CONGELADORA HORIZONTAL 2 PUERTA - COLOR BLANCO DE,3920,,1112100001,,,0.0000,1,t,2024-02-29,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,130000251,0,2208103820,CAMARA HORIZONTAL REFRIGERADO PARA CARNES / SERIE,3920,,1112100001,,,0.0000,1,t,2024-02-29,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,130000252,0,53103121122000225,CONGELADOR HORIZONTAL 2 PUERTAS DE 25 PIES / SN 53,3920,,1112100001,,,0.0000,1,t,2024-02-29,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,130000253,0,53103121122000231,CONGELADOR HORIZONTAL 2 PUERTAS DE 25 PIES / SN: 5,3920,,1112100001,,,0.0000,1,t,2024-02-29,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,130000254,0,88950013839000096,CAMARA CONGELADORA VERTICAL 1 PUERTA DE VIDRIO 14,3920,,1112100001,,,0.0000,1,t,2024-02-29,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,130000256,0,53103122192000016,CONGELADOR HORIZONTAL 2 PUERTAS 25 PIES / SERIE: 5,3920,,1112100001,,,0.0000,1,t,2024-04-30,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,130000257,0,53103122192000020,CONGELADOR HORIZONTAL 2 PUERTAS 25 PIES / SERIE: 5,3920,,1112100001,,,0.0000,1,t,2024-04-30,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,130000258,0,53103122192000003,CONGELADOR HORIZONTAL 2 PUERTAS 25 PIES / SERIE: 5,3920,,1112100001,,,0.0000,1,t,2024-04-30,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,130000259,0,53103122192000015,CONGELADOR HORIZONTAL 2 PUERTAS 25 PIES / SERIE: 5,3920,,1112100001,,,0.0000,1,t,2024-04-30,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,60100363,0,"",FP2019_098 GPS LOG/CADSUM,4001,,1113000004,,,0.0000,1,t,2019-12-31,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,60101170,0,"",ANULADO,4001,,1131800001,,,0.0000,1,t,,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,80001431,0,"",ESCALDADORA,2000,,1131100001,,,5620078.1900,1,t,2021-06-30,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,120100051,0,6,UPS 1500VA APC,3220,,1111100004,,,1.0000,1,t,2018-02-28,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,140000001,0,MPA10127-00002,MEJORA A PROPIEDAD ARRENDADA SAN PEDRO SULA,7010,,1113000001,,,1238562.8500,1,t,2016-09-30,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,180000000,0,PRG20101-00009,4 VEEAM BACKUP (SOFTWARE),9000,,1111100003,,,79101.6100,1,t,2017-02-28,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,180000001,0,PRG20101-00010,INSTALACION Y CONFIGURACION (SOFTWARE),9000,,1111100003,,,135891.4800,1,t,2017-02-28,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,60100497,0,"",FP2020_071 VITRINA ELECTRICA VTDSPS/COME,4001,,1112100002,,,0.0000,1,t,2020-08-31,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,60101078,0,"",FP2023_221 5 SILLAS EJECUTIVAS AUDITOR,4001,,1111100002,,,15972.4000,1,t,2023-12-31,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,60101134,0,"",ANULADO,4001,,1112100001,,,0.0000,1,t,,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,60101316,0,"",FP2024_172  CONG. PRONTO SAN FCO VTA TGU,4001,,1112100001,,,0.0000,1,t,2024-12-31,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,60101381,0,"",FP2025_032 1 Compresor Backup Holding,4001,,1113000007,,,0.0000,1,t,2025-07-31,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,80000024,0,MYE10109-00663,CRIADORA SHEN GLOW C/CAMPANA DE ALUMINIO 34 HD,2000,,1123205001,,,3884.4200,1,t,2012-12-31,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,80000202,0,MYE10109-00230,CRIADORAS GASOLEC,2000,,1121101001,,,2150.0000,1,t,2006-12-31,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,20100007,0,"",CAPITALIZACIÓN TALLER DE MANTENIMIENTO,1120,,1113000005,,,943681.4900,1,t,2020-01-01,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,80000505,0,INV.000136,VENTILADOR METALICO MARCA GENERAL ELECTRIC,2000,,1123103001,,,1.0000,1,t,2018-02-28,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,80000762,0,MYE10109-00583,CRIADORAS GASOLEC M85-310-MS,2000,,1123101001,,,3080.0000,1,t,2011-11-30,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,80000985,0,MYE10109-00662,CRIADORA SHEN GLOW C/CAMPANA DE ALUMINIO 34 HD,2000,,1123104001,,,3884.4200,1,t,2012-12-31,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,80001032,0,MYE10109-00712,THERMOCOUPLE 36,2000,,1123102001,,,286.4700,1,t,2013-05-31,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,100000158,0,"",ESCRITORIO EN L,3000,,1132000002,,,7650.4800,1,t,2022-04-30,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,80001291,0,MYE10109-00965,MOLINO PPH,2000,,1133000004,,,482387.9500,1,t,2017-10-31,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,40000024,0,GAL-10003-0086,GALERAS POSTURA (9.12X88.70MTS) F2,1300,,1121201006,,,1061455.3800,1,t,2009-10-31,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,30000023,0,ING10104-00029,INSTALACION CERCA PERIMETRAL TIZATILLO B,1200,,1123102001,,,118473.9400,1,t,2015-03-31,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,40000025,0,GAL-10003-0085,GALERAS POSTURA (9.12X88.70MTS) F1,1300,,1121201006,,,1061455.3800,1,t,2009-10-31,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,40000026,0,GAL-10003-0084,GALERAS POSTURA (9.33X89.54MTS) E2,1300,,1121201005,,,190593.3500,1,t,2008-11-30,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,40000027,0,GAL-10003-0083,GALERAS POSTURA (9.33X89.54MTS) E1,1300,,1121201005,,,190593.3500,1,t,2008-11-30,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,40000028,0,GAL-10003-0082,GALERAS POSTURA (9.40X89.70MTS) D2,1300,,1121201004,,,190593.3500,1,t,2008-11-30,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,40000029,0,GAL-10003-0081,GALERAS POSTURA (9.40X89.70MTS) D1,1300,,1121201004,,,190593.3500,1,t,2008-11-30,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,40000004,0,GAL-10003-0062,GALERA PEÑA BLANCA # 17,1300,,1123104001,,,536271.3100,1,t,1999-11-30,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,40000030,0,GAL-10003-0080,GALERAS POSTURA (9.40X89.70MTS) C2,1300,,1121201003,,,190593.3500,1,t,2008-11-30,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,40000031,0,GAL-10003-0079,GALERAS POSTURA (9.40X89.70MTS) C1,1300,,1121201003,,,190593.3500,1,t,2008-11-30,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,40000032,0,GAL-10003-0078,GALERAS POSTURA (9.40X89.70MTS) B2,1300,,1121201002,,,190593.3500,1,t,2008-11-30,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,40000033,0,GAL-10003-0077,GALERAS POSTURA (9.40X89.70MTS) B1,1300,,1121201002,,,190593.3500,1,t,2008-11-30,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,40000034,0,GAL-10003-0076,GALERAS POSTURA (9.30X89.70MTS) A2,1300,,1121201001,,,235502.5300,1,t,1999-11-30,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,40000035,0,GAL-10003-0075,GALERAS POSTURA (9.30X89.70MTS) A1,1300,,1121201001,,,235502.5300,1,t,1999-11-30,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,60000062,0,"",ROTOTANQUES DE 1100 LTS,1500,,1123103001,,,4300.0000,1,t,2019-04-30,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,60100148,0,"",PP2019-117 1 CONGELADO/COMODATO VTDTGU,4001,,1112100001,,,0.0000,1,t,2019-02-28,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,60100336,0,"","PP2019_042 FREEZER 25"" SV1/COMER",4001,,1112100001,,,0.0000,1,t,2019-11-30,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,80000007,0,MYE10109-00663,CRIADORA SHEN GLOW C/CAMPANA DE ALUMINIO 34 HD,2000,,1123205001,,,3884.4200,1,t,2012-12-31,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,80000178,0,MYE10109-00848,CALENTADORAS INFRARROJAS ESTILO CAMPANA,2000,,1123101001,,,4944.0200,1,t,2015-11-30,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,80000480,0,MEI-001749,ELEVADORES DE HARINA,2000,,1132000099,,,1.0000,1,t,2018-02-28,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,80000524,0,MEI-000178,"SISTEMA ELECTRICO DE COMEDEROS MARCA ROXELL, INCLU",2000,,1123103001,,,1.0000,1,t,2018-02-28,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,80001030,0,MYE10109-00712,THERMOCOUPLE 36,2000,,1123102001,,,286.4700,1,t,2013-05-31,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,80000777,0,MYE10109-00690,95 BEBEDEROS DE CAMPANA,2000,,1123102001,,,50427.0000,1,t,2013-02-28,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,60100341,0,"","FP2019_077 FREEZER 25"" SV2/COMER",4001,,1112100001,,,0.0000,1,t,2019-12-31,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,80000996,0,MYE10109-00697,CRIADORA INFRARROJA TIPO M8 C/SISTEMA REGULADOR,2000,,1123102001,,,2138.0300,1,t,2013-02-28,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,80001040,0,MYE10109-00850,BOMBA JET FRANKLIN FSWJ07P 3/4 HP Y LOS ACCESORIOS,2000,,1123101001,,,16823.5200,1,t,2015-11-30,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,100000159,0,"",ARMARIO PERSIANA,3000,,1132000002,,,11406.8200,1,t,2022-04-30,HNL,f,f
2025-07-21 14:23:59.299,DEVELOPER,2025-09-04 14:35:28.059,DBULNES,80001337,0,MYE10109-01088,VENTILADORES INDUSTRIAL PEDESTAL LASKO FS-850/FW,2000,,1123900003,,,5299.7200,1,t,2018-11-01,HNL,f,f
