createdat,createdby,modifiedat,modifiedby,centrologistico_codigo,unidadproductiva_codigo,materialformula_codigo,material_codigo,ejercicio,cantidad01,cantidad02,cantidad03,cantidad04,cantidad05,cantidad06,cantidad07,cantidad08,cantidad09,cantidad10,cantidad11,cantidad12,escenario,bloqueouser,bloqueoadmin,historico
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000041,10000018,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000041,10000023,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000041,10000034,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,302.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000041,10000036,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000000,10000023,2024,118.0200,30.0000,117.0300,24.0000,43.5000,46.2000,117.0000,84.0000,27.0000,85.5000,57.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000000,10000034,2024,965.4000,600.0000,2340.6000,496.0000,2232.0000,954.8000,2484.0000,1190.0000,510.0000,1938.0000,1216.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000000,10000037,2024,196.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000041,10000042,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000041,10000053,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000041,10000060,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000041,10000063,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000041,10000071,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000041,10000074,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1240.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000041,10000180,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000041,10000230,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000041,10000261,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000041,10000263,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000041,10000290,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000041,10000295,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000041,10000296,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000041,12000041,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20380.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000050,10000000,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8694.0000,14515.8510,26517.2000,27488.7500,8694.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000050,10000001,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,98751.7500,26240.0000,1156.8000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000050,10000002,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,39586.8000,67820.3080,561.0500,98285.5400,39927.4000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000050,10000004,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,996.0000,1665.3440,2490.0000,3403.0000,996.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000050,10000006,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.0000,110.5600,165.0000,225.5000,66.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000050,10000008,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,162.0000,270.4200,405.0000,553.5000,162.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000050,10000009,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,546.0000,2740.4140,1774.5000,5596.5000,1638.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000050,10000010,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,90.0000,60.3000,225.0000,277.5000,60.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000050,10000012,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.0000,80.2000,120.0000,164.0000,48.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000050,10000013,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,144.0000,240.5200,360.0000,492.0000,144.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000050,10000018,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.0000,100.3600,150.0000,205.0000,60.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000050,10000023,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.0000,70.3400,75.0000,102.5000,30.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000050,10000034,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,768.0000,1282.3920,1920.0000,2624.0000,768.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000050,10000036,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,38.1880,0.0000,0.0000,0.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000050,10000042,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0600,0.0000,0.0000,0.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000050,10000053,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0000,15.0000,22.5000,30.7500,9.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000050,10000057,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2600,0.0000,0.0000,0.0000,0.0000,1,f,f,t
2025-07-21 14:24:47.848,DEVELOPER,2025-08-27 22:26:17.984,DBULNES,1000,ABA,12000050,10000063,2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,90.0000,126.3000,225.0000,307.5000,90.0000,0.0000,1,f,f,t
