createdat,createdby,modifiedat,modifiedby,centrologistico_codigo,material_codigo,ejercicio,escenario,cantidad01,cantidad02,cantidad03,cantidad04,cantidad05,cantidad06,cantidad07,cantidad08,cantidad09,cantidad10,cantidad11,cantidad12,bloqueouser,bloqueoadmin,historico,total
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000002,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000003,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000004,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000007,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000009,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000010,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000012,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000013,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000016,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000017,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000018,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000020,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000022,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000023,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000027,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
2025-09-01 22:25:23.752,NMATAMOROS,2025-09-01 22:25:23.752,NMATAMOROS,4000,13000029,2024,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f,t,0.0000
