createdat,createdby,modifiedat,modifiedby,listamateriales,fechainiciovalidez,mensaje,fechafinvalidez,producto_codigo,centrologistico_codigo,numerolista,cantidadbase,nodo,contador,componente_codigo,numeroposicion,cantidad,unidadmedidacomp,relevantefabricacion,relevantecalcosto,utilizacion,alternativalista,historico
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000003,1000,00000059,5000.000,00000004,00000008,10000294,0040,7.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000003,1000,00000059,5000.000,00000005,00000010,10000000,0050,1625.000,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20160101,"",00000000,12000003,1000,00000059,5000.000,00000006,00000012,10000018,0060,6.000,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20190225,"",00000000,12000001,1000,00000057,5000.000,00000024,00000048,10000038,0230,125.000,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20181227,"",00000000,12000002,1000,00000058,5000.000,00000025,00000050,10000004,0240,36.000,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20181227,"",00000000,12000002,1000,00000058,5000.000,00000026,00000052,10000034,0250,5.000,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20230127,"",00000000,12000001,1000,00000057,5000.000,00000029,00000058,10000310,0260,147.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20230127,"",00000000,12000001,1000,00000057,5000.000,00000030,00000060,10000210,0270,5.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20230127,"",00000000,12000001,1000,00000057,5000.000,00000032,00000064,10000261,0290,4.000,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20230127,"",00000000,12000001,1000,00000057,5000.000,00000033,00000066,10000010,0320,7.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20230127,"",00000000,12000002,1000,00000058,5000.000,00000031,00000062,10000310,0300,147.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20230127,"",00000000,12000002,1000,00000058,5000.000,00000032,00000064,10000298,0310,1.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20230127,"",00000000,12000002,1000,00000058,5000.000,00000033,00000066,10000210,0320,9.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20230127,"",00000000,12000002,1000,00000058,5000.000,00000034,00000068,10000262,0330,4.000,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20230127,"",00000000,12000002,1000,00000058,5000.000,00000035,00000070,10000010,0340,7.500,LB,t,X,1,1,t
2025-08-27 22:33:19.944,DBULNES,2025-08-27 22:33:19.944,DBULNES,M,20230127,"",00000000,12000002,1000,00000058,5000.000,00000036,00000072,10000290,0350,6.500,LB,t,X,1,1,t
