id,createdat,createdby,modifiedat,modifiedby,sociedadfi_codigo,ejercicio,escenario,centrocostoemisor_codigo,centrocostoreceptor_codigo,plancuenta_codigo,tipodistribucion_codigo,factor1,factor2,factor3,factor4,factor5,factor6,factor7,factor8,factor9,factor10,factor11,factor12,bloqueouser,bloqueoadmin
39ace8e6-4770-4eff-895c-9f18ade646b1,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2024,1,1123900003,1123309001,S42CFCCAGP,AVEDIA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3520609.9411,f,f
0dd32607-ade7-4ba3-8ac4-1edffa419e46,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2025,1,1123900003,1123310001,S42CFCCAGP,AVEDIA,2570401.1657,3209977.4558,3477596.9771,2646602.6000,4541894.3625,2844678.9282,3666604.8500,4233611.2000,2676243.0800,4399917.0900,3780008.1429,2813833.5358,f,f
a1b32bb0-2fc1-4476-bb30-bf668eee21f8,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2025,1,1123900003,1123313001,S42CFCCAGP,AVEDIA,7425671.2779,5985002.5200,5775527.4318,7695013.1143,7001315.0335,8286504.0503,6370758.6025,6962550.7394,8293513.8017,7273431.3872,6651892.3649,8569947.0445,f,f
159d6129-5307-42ea-9e79-40fe11ec0afc,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2024,1,1123900003,1123103001,S42CFCCAGP,AVEDIA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1883326.5304,f,f
2d5ba444-0698-4915-b1ea-42f1df77f757,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2024,1,1123900003,1123307001,S42CFCCAGP,AVEDIA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7476003.3600,f,f
51c05d0f-87d0-48c0-897b-e841b2c46a2e,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2024,1,1123900003,1123308001,S42CFCCAGP,AVEDIA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8615511.1110,f,f
ccb438c2-ea5d-426a-abc7-deb2bbfa39cb,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2025,1,1123900003,1123104001,S42CFCCAGP,AVEDIA,2476962.0000,993600.4114,1997550.8271,1573207.8714,1529570.6645,2409471.8520,1560775.8420,1766947.7320,2070005.4286,1874595.7218,2007902.6329,2069992.8571,f,f
f9c90b1b-0992-463a-81ae-13e4512402a3,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2025,1,1123900003,1123308001,S42CFCCAGP,AVEDIA,8615511.1110,4742146.0135,8623576.5295,5309730.4152,6697725.6744,8640012.0000,6816963.1537,7822077.6720,6623991.9829,7908470.4282,8380789.8566,6704488.8706,f,f
8a163c17-212f-42ff-a619-03fd27d47960,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2025,1,1123900003,1123103001,S42CFCCAGP,AVEDIA,1883326.5304,3100793.8252,1785144.7714,2537047.7492,3213264.8777,1986276.1817,3578635.5112,2737233.9429,2088628.6457,3578637.2295,2726526.2462,2196929.8584,f,f
49beab86-39b3-40fd-bd45-85d67161fe7e,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2024,1,1123900003,1123313001,S42CFCCAGP,AVEDIA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7425671.2779,f,f
f6282689-fd56-451a-8b43-d649e863c118,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2024,1,1123900003,1123301001,S42CFCCAGP,AVEDIA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f
43acbfa8-8aa6-4680-a207-8a7946ee6471,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2024,1,1123900003,1123310001,S42CFCCAGP,AVEDIA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2570401.1657,f,f
8fca224e-10b0-48fa-a0b1-37b73898014b,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2024,1,1123900003,1123305001,S42CFCCAGP,AVEDIA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,f,f
0be91555-e4d0-4b5e-9f2f-24cb59024ca1,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2024,1,1123900003,1123102001,S42CFCCAGP,AVEDIA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1989349.8014,f,f
47c26169-93f9-4674-8d6e-8b765bc7f538,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2025,1,1123900003,1123205001,S42CFCCAGP,AVEDIA,1293630.2104,2095046.6520,1718739.5657,1753114.3570,2623329.4109,1605841.4894,2456889.2544,2261490.0000,1505251.0440,2720140.0182,2006664.2083,1587575.3023,f,f
cecfa8e0-55cc-4aa6-b232-191650ae3e9c,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2024,1,1123900003,1123202001,S42CFCCAGP,AVEDIA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2028912.5000,f,f
e9a62993-3593-4f9d-b61a-79b5649b9cf2,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2025,1,1123900003,1123202001,S42CFCCAGP,AVEDIA,2028912.5000,1015000.4800,1609138.2610,1522496.4000,1341538.4222,2109760.4760,1370969.6476,1476816.8520,1957505.8629,1645754.9291,1687805.0551,1957492.2857,f,f
816bd4a2-66ec-4380-bead-f56512f600d2,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2025,1,1123900003,1123102001,S42CFCCAGP,AVEDIA,1989349.8014,3442349.3896,1888702.3153,3580059.1584,2802793.7394,2230006.1594,3830932.6054,2783695.2700,2595141.4920,3694606.2971,2899626.1136,2965872.6651,f,f
2a7bc24c-9d34-4941-9b05-cb74bbd7b255,2025-07-22 22:48:53.465,NMATAMOROS,2025-07-30 21:21:41.089,DGOMEZADM,1000,2024,1,1123900003,1123312001,S42CFCCAGP,AVEDIA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3048699.5004,f,f
