createdat,createdby,modifiedat,modifiedby,unidadproductiva_codigo,centrocosto_codigo,material_codigo,ejercicio,escenario,operacion,operaciondescripcion,porcentaje,esporcentaje,cantidad01,cantidad02,cantidad03,cantidad04,cantidad05,cantidad06,cantidad07,cantidad08,cantidad09,cantidad10,cantidad11,cantidad12,bloqueouser,bloqueoadmin,historico
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131700001,21000044,2024,1,0040,Fresco,0.0000,"",7881.1900,7205.6300,6821.1800,7445.0200,7291.3500,7234.5500,8288.2200,7930.3500,7364.7300,7797.9700,7968.6200,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131200001,21000042,2024,1,0010,Corte,0.0000,"",35757.8500,31611.7000,30267.0200,34754.4600,39552.4400,42999.2700,45361.1600,41081.5600,37603.3700,35214.7700,35038.5700,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131200002,21000042,2024,1,0020,Deshuese,0.0000,"",35757.8500,31611.7000,30267.0200,34754.4600,39552.4400,42999.2700,45361.1600,41081.5600,37603.3700,35214.7700,35038.5700,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131600001,21000042,2024,1,0030,Empaque,0.0000,"",35757.8500,31611.7000,30267.0200,34754.4600,39552.4400,42999.2700,45361.1600,41081.5600,37603.3700,35214.7700,35038.5700,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131700001,21000042,2024,1,0040,Fresco,0.0000,"",35757.8500,31611.7000,30267.0200,34754.4600,39552.4400,42999.2700,45361.1600,41081.5600,37603.3700,35214.7700,35038.5700,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131700002,21000041,2024,1,0010,Congelado,0.0000,"",19482.4500,17613.9500,16416.7000,12472.4500,14122.2000,16114.0000,15641.7000,11354.2000,16048.8000,10675.1500,8167.9500,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131200001,21000040,2024,1,0010,Corte,0.0000,"",291797.6300,284629.6300,278703.6100,312585.6600,324194.4800,333389.5200,354225.0200,326509.2900,347431.8600,297804.6800,327872.3840,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131200002,21000040,2024,1,0020,Deshuese,0.0000,"",291797.6300,284629.6300,278703.6100,312585.6600,324194.4800,333389.5200,354225.0200,326509.2900,347431.8600,297804.6800,327872.3840,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131300001,21000040,2024,1,0040,Tenderizado,24.0000,%,70031.4312,68311.1112,66888.8664,75020.5584,77806.6752,80013.4848,85014.0048,78362.2296,83383.6464,71473.1232,78689.3722,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131600001,21000040,2024,1,0050,Empaque,0.0000,"",291797.6300,284629.6300,278703.6100,312585.6600,324194.4800,333389.5200,354225.0200,326509.2900,347431.8600,297804.6800,327872.3840,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131700001,21000040,2024,1,0060,Fresco,0.0000,"",291797.6300,284629.6300,278703.6100,312585.6600,324194.4800,333389.5200,354225.0200,326509.2900,347431.8600,297804.6800,327872.3840,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131700002,21000039,2024,1,0010,Congelado,0.0000,"",18569.3000,9996.0000,15365.3500,14758.3500,12081.5500,7960.7500,11178.3500,30914.6500,6759.9000,4746.8500,2731.5000,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131700002,21000059,2024,1,0010,Congelado,0.0000,"",97.2500,0.0000,63.2000,45.0500,36.0500,32.9500,82.2500,3094.6000,375.4500,475.8500,0.0000,0.0000,f,f,t
2025-08-27 22:26:19.246,DBULNES,2025-08-27 22:26:19.246,DBULNES,PPP,1131100001,21000070,2024,1,0010,Tumbler,0.0000,"",0.0000,0.0000,0.0000,0.0000,626.2200,384.8200,156.5100,0.0000,2730.6600,2278.1200,3251.3700,0.0000,f,f,t
